year,song_title,release_date,release_title,track_position,length_seconds
1961,My Bonnie,1961-10-23,My Bonnie,1-1,164
1961,The Saints,1961-10-23,My Bonnie,1-2,199
1962,My Bonnie,1962-01,My Bonnie,1-1,162
1962,The Saints,1962-01,My Bonnie,1-2,199
1962,My Bonnie,1962-01-05,My Bonnie,1-1,162
1962,The Saints,1962-01-05,My Bonnie,1-2,199
1962,My Bonnie,1962-04,My Bonnie,1-1,162
1962,The Saints,1962-04,My Bonnie,1-2,199
1962,My Bonnie,1962-04-23,My Bonnie,1-1,162
1962,The Saints,1962-04-23,My Bonnie,1-2,199
1962,Love Me Do,1962-10-05,Love Me Do / P.S. I Love You,1-1,143
1962,P.S. I Love You,1962-10-05,Love Me Do / P.S. I Love You,1-2,124
1962,Love Me Do,1962-10-05,Love Me Do / P.S. I Love You,1-1,143
1962,P.S. I Love You,1962-10-05,Love Me Do / P.S. I Love You,1-2,124
1963,From Me to You,1963,From Me to You / Thank You Girl,1-1,117
1963,Thank You Girl,1963,From Me to You / Thank You Girl,1-2,123
1963,Love Me Do,1963,Love Me Do / P.S. I Love You,1-1,141
1963,P.S. I Love You,1963,Love Me Do / P.S. I Love You,1-2,124
1963,It Won’t Be Long,1963,With The Beatles,1-1,133
1963,All I’ve Got to Do,1963,With The Beatles,1-2,125
1963,All My Loving,1963,With The Beatles,1-3,130
1963,Don’t Bother Me,1963,With The Beatles,1-4,149
1963,Little Child,1963,With The Beatles,1-5,108
1963,Till There Was You,1963,With The Beatles,1-6,137
1963,Please Mister Postman,1963,With The Beatles,1-7,155
1963,Roll Over Beethoven,1963,With The Beatles,1-8,167
1963,Hold Me Tight,1963,With The Beatles,1-9,153
1963,You Really Got a Hold on Me,1963,With The Beatles,1-10,183
1963,I Wanna Be Your Man,1963,With The Beatles,1-11,119
1963,Devil in Her Heart,1963,With The Beatles,1-12,148
1963,Not a Second Time,1963,With The Beatles,1-13,128
1963,Money (That’s What I Want),1963,With The Beatles,1-14,168
1963,I Saw Her Standing There,1963,Please Please Me,1-1,175
1963,Misery,1963,Please Please Me,1-2,110
1963,Anna (Go to Him),1963,Please Please Me,1-3,177
1963,Chains,1963,Please Please Me,1-4,146
1963,Boys,1963,Please Please Me,1-5,147
1963,Ask Me Why,1963,Please Please Me,1-6,147
1963,Please Please Me,1963,Please Please Me,1-7,121
1963,Love Me Do,1963,Please Please Me,1-8,141
1963,P.S. I Love You,1963,Please Please Me,1-9,124
1963,Baby It’s You,1963,Please Please Me,1-10,160
1963,Do You Want to Know a Secret,1963,Please Please Me,1-11,120
1963,A Taste of Honey,1963,Please Please Me,1-12,125
1963,There’s a Place,1963,Please Please Me,1-13,113
1963,Twist and Shout,1963,Please Please Me,1-14,153
1963,From Me to You,1963,The Beatles’ Hits,1-1,117
1963,Thank You Girl,1963,The Beatles’ Hits,1-2,123
1963,Please Please Me,1963,The Beatles’ Hits,1-3,122
1963,Love Me Do,1963,The Beatles’ Hits,1-4,141
1963,She Loves You,1963,She Loves You / I’ll Get You,1-1,141
1963,I’ll Get You,1963,She Loves You / I’ll Get You,1-2,125
1963,It Won’t Be Long,1963,With The Beatles,1-1,133
1963,All I’ve Got to Do,1963,With The Beatles,1-2,125
1963,All My Loving,1963,With The Beatles,1-3,129
1963,Don’t Bother Me,1963,With The Beatles,1-4,149
1963,Little Child,1963,With The Beatles,1-5,108
1963,Till There Was You,1963,With The Beatles,1-6,137
1963,Please Mister Postman,1963,With The Beatles,1-7,155
1963,Roll Over Beethoven,1963,With The Beatles,1-8,168
1963,Hold Me Tight,1963,With The Beatles,1-9,153
1963,You Really Got a Hold on Me,1963,With The Beatles,1-10,183
1963,I Wanna Be Your Man,1963,With The Beatles,1-11,120
1963,Devil in Her Heart,1963,With The Beatles,1-12,148
1963,Not a Second Time,1963,With The Beatles,1-13,127
1963,Money (That’s What I Want),1963,With The Beatles,1-14,169
1963,I Saw Her Standing There,1963,Please Please Me,1-1,175
1963,Misery,1963,Please Please Me,1-2,108
1963,Anna (Go to Him),1963,Please Please Me,1-3,177
1963,Chains,1963,Please Please Me,1-4,145
1963,Boys,1963,Please Please Me,1-5,146
1963,Ask Me Why,1963,Please Please Me,1-6,146
1963,Please Please Me,1963,Please Please Me,1-7,122
1963,Love Me Do,1963,Please Please Me,1-8,141
1963,P.S. I Love You,1963,Please Please Me,1-9,124
1963,Baby It’s You,1963,Please Please Me,1-10,160
1963,Do You Want to Know a Secret,1963,Please Please Me,1-11,117
1963,A Taste of Honey,1963,Please Please Me,1-12,123
1963,There’s a Place,1963,Please Please Me,1-13,110
1963,Twist and Shout,1963,Please Please Me,1-14,154
1963,From Me to You,1963,From Me to You / Thank You Girl,1-1,117
1963,Thank You Girl,1963,From Me to You / Thank You Girl,1-2,123
1963,It Won’t Be Long,1963,With The Beatles,1-1,133
1963,All I’ve Got to Do,1963,With The Beatles,1-2,125
1963,All My Loving,1963,With The Beatles,1-3,129
1963,Don’t Bother Me,1963,With The Beatles,1-4,149
1963,Little Child,1963,With The Beatles,1-5,108
1963,Till There Was You,1963,With The Beatles,1-6,137
1963,Please Mister Postman,1963,With The Beatles,1-7,155
1963,Roll Over Beethoven,1963,With The Beatles,1-8,167
1963,Hold Me Tight,1963,With The Beatles,1-9,153
1963,You Really Got a Hold on Me,1963,With The Beatles,1-10,183
1963,I Wanna Be Your Man,1963,With The Beatles,1-11,119
1963,Devil in Her Heart,1963,With The Beatles,1-12,148
1963,Not a Second Time,1963,With The Beatles,1-13,128
1963,Money (That’s What I Want),1963,With The Beatles,1-14,168
1963,I Saw Her Standing There,1963,Please Please Me,1-1,175
1963,Misery,1963,Please Please Me,1-2,110
1963,Anna (Go to Him),1963,Please Please Me,1-3,177
1963,Chains,1963,Please Please Me,1-4,146
1963,Boys,1963,Please Please Me,1-5,147
1963,Ask Me Why,1963,Please Please Me,1-6,147
1963,Please Please Me,1963,Please Please Me,1-7,121
1963,Love Me Do,1963,Please Please Me,1-8,141
1963,P.S. I Love You,1963,Please Please Me,1-9,124
1963,Baby It’s You,1963,Please Please Me,1-10,160
1963,Do You Want to Know a Secret,1963,Please Please Me,1-11,120
1963,A Taste of Honey,1963,Please Please Me,1-12,125
1963,There’s a Place,1963,Please Please Me,1-13,113
1963,Twist and Shout,1963,Please Please Me,1-14,153
1963,She Loves You,1963,She Loves You / I’ll Get You,1-1,141
1963,I’ll Get You,1963,She Loves You / I’ll Get You,1-2,125
1963,It Won’t Be Long,1963,With The Beatles,1-1,133
1963,All I’ve Got to Do,1963,With The Beatles,1-2,125
1963,All My Loving,1963,With The Beatles,1-3,129
1963,Don’t Bother Me,1963,With The Beatles,1-4,149
1963,Little Child,1963,With The Beatles,1-5,108
1963,Till There Was You,1963,With The Beatles,1-6,137
1963,Please Mister Postman,1963,With The Beatles,1-7,155
1963,Roll Over Beethoven,1963,With The Beatles,1-8,168
1963,Hold Me Tight,1963,With The Beatles,1-9,153
1963,You Really Got a Hold on Me,1963,With The Beatles,1-10,183
1963,I Wanna Be Your Man,1963,With The Beatles,1-11,120
1963,Devil in Her Heart,1963,With The Beatles,1-12,148
1963,Not a Second Time,1963,With The Beatles,1-13,127
1963,Money (That’s What I Want),1963,With The Beatles,1-14,169
1963,Please Please Me,1963-01,Please Please Me / Ask Me Why,1-1,121
1963,Ask Me Why,1963-01,Please Please Me / Ask Me Why,1-2,142
1963,Please Please Me,1963-01-11,Please Please Me / Ask Me Why,1-1,121
1963,Ask Me Why,1963-01-11,Please Please Me / Ask Me Why,1-2,142
1963,Please Please Me,1963-02,Please Please Me / Ask Me Why,1-1,121
1963,Ask Me Why,1963-02,Please Please Me / Ask Me Why,1-2,142
1963,Please Please Me,1963-02-07,Please Please Me / Ask My Why,1-1,121
1963,Ask Me Why,1963-02-07,Please Please Me / Ask My Why,1-2,142
1963,Please Please Me,1963-02-07,Please Please Me / Ask Me Why,1-1,121
1963,Ask Me Why,1963-02-07,Please Please Me / Ask Me Why,1-2,142
1963,Please Please Me,1963-02-07,Please Please Me / Ask Me Why,1-1,121
1963,Ask Me Why,1963-02-07,Please Please Me / Ask Me Why,1-2,142
1963,Love Me Do,1963-02-18,Love Me Do / P.S. I Love You,1-1,143
1963,P.S. I Love You,1963-02-18,Love Me Do / P.S. I Love You,1-2,124
1963,Please Please Me,1963-02-21,Please Please Me,1-1,122
1963,Ask Me Why,1963-02-21,Please Please Me,1-2,142
1963,Please Please Me,1963-03,Please Please Me / Ask Me Why,1-1,121
1963,Ask Me Why,1963-03,Please Please Me / Ask Me Why,1-2,142
1963,I Saw Her Standing There,1963-03-22,Please Please Me,1-1,175
1963,Misery,1963-03-22,Please Please Me,1-2,110
1963,Anna (Go to Him),1963-03-22,Please Please Me,1-3,177
1963,Chains,1963-03-22,Please Please Me,1-4,146
1963,Boys,1963-03-22,Please Please Me,1-5,147
1963,Ask Me Why,1963-03-22,Please Please Me,1-6,147
1963,Please Please Me,1963-03-22,Please Please Me,1-7,121
1963,Love Me Do,1963-03-22,Please Please Me,1-8,141
1963,P.S. I Love You,1963-03-22,Please Please Me,1-9,124
1963,Baby It’s You,1963-03-22,Please Please Me,1-10,160
1963,Do You Want to Know a Secret,1963-03-22,Please Please Me,1-11,120
1963,A Taste of Honey,1963-03-22,Please Please Me,1-12,125
1963,There’s a Place,1963-03-22,Please Please Me,1-13,113
1963,Twist and Shout,1963-03-22,Please Please Me,1-14,153
1963,Please Please Me,1963-04,Please Please Me / Ask Me Why,1-1,121
1963,Ask Me Why,1963-04,Please Please Me / Ask Me Why,1-2,142
1963,I Saw Her Standing There,1963-04,Please Please Me,1-1,175
1963,Misery,1963-04,Please Please Me,1-2,108
1963,Anna (Go to Him),1963-04,Please Please Me,1-3,177
1963,Chains,1963-04,Please Please Me,1-4,145
1963,Boys,1963-04,Please Please Me,1-5,146
1963,Ask Me Why,1963-04,Please Please Me,1-6,146
1963,Please Please Me,1963-04,Please Please Me,1-7,122
1963,Love Me Do,1963-04,Please Please Me,1-8,141
1963,P.S. I Love You,1963-04,Please Please Me,1-9,124
1963,Baby It’s You,1963-04,Please Please Me,1-10,160
1963,Do You Want to Know a Secret,1963-04,Please Please Me,1-11,117
1963,A Taste of Honey,1963-04,Please Please Me,1-12,123
1963,There’s a Place,1963-04,Please Please Me,1-13,110
1963,Twist and Shout,1963-04,Please Please Me,1-14,154
1963,Please Please Me,1963-04,Please Please Me / Ask Me Why,1-1,121
1963,Ask Me Why,1963-04,Please Please Me / Ask Me Why,1-2,142
1963,I Saw Her Standing There,1963-04,Please Please Me,1-1,175
1963,Misery,1963-04,Please Please Me,1-2,110
1963,Anna (Go to Him),1963-04,Please Please Me,1-3,177
1963,Chains,1963-04,Please Please Me,1-4,146
1963,Boys,1963-04,Please Please Me,1-5,147
1963,Ask Me Why,1963-04,Please Please Me,1-6,147
1963,Please Please Me,1963-04,Please Please Me,1-7,121
1963,Love Me Do,1963-04,Please Please Me,1-8,141
1963,P.S. I Love You,1963-04,Please Please Me,1-9,124
1963,Baby It’s You,1963-04,Please Please Me,1-10,160
1963,Do You Want to Know a Secret,1963-04,Please Please Me,1-11,120
1963,A Taste of Honey,1963-04,Please Please Me,1-12,125
1963,There’s a Place,1963-04,Please Please Me,1-13,113
1963,Twist and Shout,1963-04,Please Please Me,1-14,153
1963,Please Please Me,1963-04-09,Please Please Me / Ask Me Why,1-1,122
1963,Ask Me Why,1963-04-09,Please Please Me / Ask Me Why,1-2,142
1963,From Me to You,1963-04-11,From Me to You / Thank You Girl,1-1,117
1963,Thank You Girl,1963-04-11,From Me to You / Thank You Girl,1-2,123
1963,From Me to You,1963-04-11,From Me to You / Thank You Girl,1-1,117
1963,Thank You Girl,1963-04-11,From Me to You / Thank You Girl,1-2,123
1963,I Saw Her Standing There,1963-04-26,Please Please Me,1-1,175
1963,Misery,1963-04-26,Please Please Me,1-2,108
1963,Anna (Go to Him),1963-04-26,Please Please Me,1-3,177
1963,Chains,1963-04-26,Please Please Me,1-4,145
1963,Boys,1963-04-26,Please Please Me,1-5,146
1963,Ask Me Why,1963-04-26,Please Please Me,1-6,146
1963,Please Please Me,1963-04-26,Please Please Me,1-7,122
1963,Love Me Do,1963-04-26,Please Please Me,1-8,141
1963,P.S. I Love You,1963-04-26,Please Please Me,1-9,124
1963,Baby It’s You,1963-04-26,Please Please Me,1-10,160
1963,Do You Want to Know a Secret,1963-04-26,Please Please Me,1-11,117
1963,A Taste of Honey,1963-04-26,Please Please Me,1-12,123
1963,There’s a Place,1963-04-26,Please Please Me,1-13,110
1963,Twist and Shout,1963-04-26,Please Please Me,1-14,154
1963,I Saw Her Standing There,1963-05,Please Please Me,1-1,175
1963,Misery,1963-05,Please Please Me,1-2,108
1963,Anna (Go to Him),1963-05,Please Please Me,1-3,177
1963,Chains,1963-05,Please Please Me,1-4,145
1963,Boys,1963-05,Please Please Me,1-5,146
1963,Ask Me Why,1963-05,Please Please Me,1-6,146
1963,Please Please Me,1963-05,Please Please Me,1-7,122
1963,Love Me Do,1963-05,Please Please Me,1-8,141
1963,P.S. I Love You,1963-05,Please Please Me,1-9,124
1963,Baby It’s You,1963-05,Please Please Me,1-10,160
1963,Do You Want to Know a Secret,1963-05,Please Please Me,1-11,117
1963,A Taste of Honey,1963-05,Please Please Me,1-12,123
1963,There’s a Place,1963-05,Please Please Me,1-13,110
1963,Twist and Shout,1963-05,Please Please Me,1-14,154
1963,I Saw Her Standing There,1963-05,Please Please Me,1-1,175
1963,Misery,1963-05,Please Please Me,1-2,110
1963,Anna (Go to Him),1963-05,Please Please Me,1-3,177
1963,Chains,1963-05,Please Please Me,1-4,146
1963,Boys,1963-05,Please Please Me,1-5,147
1963,Ask Me Why,1963-05,Please Please Me,1-6,147
1963,Please Please Me,1963-05,Please Please Me,1-7,121
1963,Love Me Do,1963-05,Please Please Me,1-8,141
1963,P.S. I Love You,1963-05,Please Please Me,1-9,124
1963,Baby It’s You,1963-05,Please Please Me,1-10,160
1963,Do You Want to Know a Secret,1963-05,Please Please Me,1-11,120
1963,A Taste of Honey,1963-05,Please Please Me,1-12,125
1963,There’s a Place,1963-05,Please Please Me,1-13,113
1963,Twist and Shout,1963-05,Please Please Me,1-14,153
1963,I Saw Her Standing There,1963-05,Please Please Me,1-1,175
1963,Misery,1963-05,Please Please Me,1-2,108
1963,Anna (Go to Him),1963-05,Please Please Me,1-3,177
1963,Chains,1963-05,Please Please Me,1-4,145
1963,Boys,1963-05,Please Please Me,1-5,146
1963,Ask Me Why,1963-05,Please Please Me,1-6,146
1963,Please Please Me,1963-05,Please Please Me,1-7,122
1963,Love Me Do,1963-05,Please Please Me,1-8,141
1963,P.S. I Love You,1963-05,Please Please Me,1-9,124
1963,Baby It’s You,1963-05,Please Please Me,1-10,160
1963,Do You Want to Know a Secret,1963-05,Please Please Me,1-11,117
1963,A Taste of Honey,1963-05,Please Please Me,1-12,123
1963,There’s a Place,1963-05,Please Please Me,1-13,110
1963,Twist and Shout,1963-05,Please Please Me,1-14,154
1963,I Saw Her Standing There,1963-05,Please Please Me,1-1,175
1963,Misery,1963-05,Please Please Me,1-2,110
1963,Anna (Go to Him),1963-05,Please Please Me,1-3,177
1963,Chains,1963-05,Please Please Me,1-4,146
1963,Boys,1963-05,Please Please Me,1-5,147
1963,Ask Me Why,1963-05,Please Please Me,1-6,147
1963,Please Please Me,1963-05,Please Please Me,1-7,121
1963,Love Me Do,1963-05,Please Please Me,1-8,141
